term,1550-1600,1650-1700,1700-1750,1750-1800,1800-1850
tipărit,False,False,True,True,True
chinului,True,False,True,False,False
schimbat,False,False,True,True,False
mîngîiare,False,False,True,True,False
unei,False,False,True,False,True
răspuns,True,False,True,False,False
nește,True,False,True,True,False
nemică,True,False,True,False,False
acestora,True,False,True,True,False
zi,True,False,True,False,True
slujim,True,False,True,False,False
elu,True,False,True,False,False
doamne,True,False,True,False,False
mult,True,False,True,False,True
sînge,True,False,True,False,True
nele,True,False,False,True,False
între,True,False,True,True,True
anul,False,False,True,False,True
ale,True,False,True,False,True
cuvîntului,False,False,True,True,False
vărsa,False,False,True,False,True
ște,True,False,False,True,False
rodul,True,False,True,False,False
tate,True,False,False,False,True
io,True,False,True,False,False
fim,True,False,False,True,True
inema,True,False,True,False,False
întinde,False,False,False,True,True
acestor,True,False,True,False,False
tea,True,False,True,True,False
parte,True,False,True,True,True
sau,True,False,True,True,True
stăpîn,False,False,True,False,True
cuvine,False,False,True,True,True
măriia,True,False,True,False,False
ri,True,False,True,True,False
auzi,True,False,True,False,False
mării,False,False,True,False,True
acolo,True,False,True,True,True
sa,False,False,True,True,True
mîndre,True,False,True,False,False
gata,True,False,False,False,True
vedea,True,False,True,True,False
milă,True,False,True,False,False
dentru,True,False,True,False,False
tată,True,False,True,False,False
înainte,True,False,True,True,True
doao,True,False,True,False,False
pîine,True,False,False,False,True
iară,True,False,True,False,True
viața,True,False,True,False,False
iute,True,False,True,False,True
poate,True,False,True,True,True
nume,True,False,False,False,True
vecie,True,False,True,False,False
viind,True,False,False,False,True
folos,True,False,True,False,True
slujba,True,False,True,False,True
ispiti,True,False,True,False,False
vînt,True,False,False,False,True
vie,True,False,True,False,True
cealea,True,False,True,False,False
ape,False,False,True,True,True
mlădițe,True,False,True,False,False
ții,True,False,False,True,True
mormîntul,False,False,True,False,True
dare,True,False,True,False,False
sfîrșitul,True,False,True,False,False
înger,True,False,True,False,False
închină,False,False,True,False,True
acestuia,True,False,True,False,False
dăm,True,False,True,False,False
fericit,True,False,True,True,False
poarta,True,False,True,False,False
